target_r,n,a,S,H,S_minus_H,ln_den_Dtarget,ln_abs_L,u_max,support_size,support_indices,constraints
9,3,1.103638323514327,1323.433507,1080.192969,243.240538,243.242544,1080.192969,419381847535208958775916522733533768302308799485567680762945723369770894664955499122099720572272121378620693463686358858643657239138294599235463118798381007920152672606421352039730977842446741469772758110965154417658919799849846424648978968402005200762257370896489618145364019141172924849958821758924248526740251663632618166499352272040080760787387850369028067832211314049911357137435272306377039191965650496814257526905448206871688806229016233531150582835667036805,4,0;1;2;20,3;5;7
9,5,1.8393972058572117,2679.960265,2088.236594,591.723671,591.725677,2088.236594,15167283922386066028558117741781585258408118654600666445224426547786867796651287297648795503917498841898013972013029253001772536256026492325542257041442894715462065339319745405804203532882114584405897320481780310235153631394416925120351914869871882090024099710513712542385584928702349168066266385668579040304794863695335671777160288888822416192958730862217508151897683024136877955703209669584142228997948805758411903501212861840212216269075175522560149645506260239888953598057648997769184980538529640010020135783334193874428028123036206616987473655563382560898643420977910030497600565870448462881284029270342539937008316279653422170532318902654148832335014083469077670350829389340545478429753714162565404940119630605491225214273892604190656156118549808474782378326758842053087742102868612915081153590487882542952800324507568446202283149326609806566334175180099179075270561680051727730406306154874434560,4,0;1;2;6,3;5;7
9,7,2.5751560882000963,3930.807781,3061.471889,869.335892,869.337898,3061.471889,8924423472441725663044182627765178442995916460997280174133575400994370437843058175733304879707035839735516067561176470438270551225318808789297099598577944661918160373064479514912428153796295564261405295166073202782956631450831451303812700297492163561178801412847195942968930818572298692602538767871468032401891597731884766697900838888741723822213757819042628685036521917894997254019480783051696862552127757267835891073264132391564371676947506567074828024317939353083284138518505766537859668272069540936185667242601484696761096188060594081305021194463069790272128171587510910265875349827519525526088015748592221937597199862198050129318994794698240325324880532238502153735233601671784322619910457267414617841202497624081252611207751673520427575858192017610422664798922403294324307380042511075699117969798734333993009651024197210946270692419165638531902320868868354336171709338586136345975447476254457960840052469611691807875563128120917560721445254982295693945673220381669236910757882926551689143160322156759842169293622917480519269470833326164024265323860402961637953012041868211652741579031781818389474511537376741480119304194356321066498076222307653150421810339012156190027684050740477941569006412977771379178461019550276420972189515090423564512627095792402481270066018692944703021819679009049367645589435862758538629611520000,4,0;1;2;3,3;5;7
9,9,3.310914970542981,5031.795975,3882.740733,1149.055243,1149.057249,3882.740733,135376829189020571804017889817449925320887423994416821002443069802345724479133385001684043074774490839934543055043031047465492384778969225915922170713153407663173517296707613397107036547817045656353708487336296084856521014986331775227712149661411949798614417433373316305630744168224302996899359581244369353333684313606993929488326564875827856156847789837278108951129591477225501662792440115673215868786695067274734071047555362482982892510149563327206811415011318316590690474062671675830620482790172851565713011418683800660222977140583777095276955127966852819207371114441742470244269972137779602710485780397546733323130665504711614518520392022229873631075743621684033510954477735276691965379984311578617941995014497568226347944375521814525493940519650025177168005261299032687449527792984731739285356959690610692293090469837259994487986531712200709387112312032742809037855440368273287359108507937800769172618688829957096778662123365506287263196084079112446988317663554382000814240043327790508015438134155778968575304071003231422769662351871382081498696378782678608694286108608696413078164477290609972855297931180987937920574185546420488192830385333031321714442702690771555405933486561847230603751909256484603589502670134289736450878602670999282139068847311036581532600008315507958762580395518619499439459105781386718521709592908575509612005333307616008499043862886803499526563192505022333791424904830799452848873286674955837982053786225597422301381388543281041688814740134194296699398349569396250527944895319046814960454604422995565384360061744382991243761630492251230356464760819578093156569746698657464290662830933603586852897513322493056077955525883713899838560482410528715853161208926232793,4,0;1;2;19,3;5;7
9,11,4.046673852885866,6754.676461,5147.951721,1606.724740,1606.726747,5147.951721,27015937661341899796626922007541343349455761723806838259390037417605249100055443771875324530116588816795128407025563315537297970517730892984083140601346224386828204245342562665451484060864795981641945650981392773497665746513349465360800360050137016284931243257017789487072113657094023667501745124362580047860005079378311057121668838067932747230840753568022085469842064227528618408687413869143162065665190117447824627287743114177620836254902994394236566186755499828122222811412411450532057175441055545325819889044218760629742457019658303412482943725085677445997840540339744976890480204764977832722478733903778917094424277087137117726289839946197616131466571547161827108974334310756683713988831503426802514087230838408376882930833667509119947749685945299176068782711846677449655279962161967532173155831182152761028546303390690762471294599598589048540337814165567659987379698750654008227783392865220225414979594506030210423553201139255587416263558394361182195522713944617585687843601520350421415332183276128614453255338801259617428464503178453172146883788290134194355123332884406676611016385133899584655551904332326116411904416336022959779761900612977754068059491378135603867729506420882517623000732001072472203803847110846911656429248184408984563248066772997221394419143849521567610709362127460509747573803943073097030247937694046069028784413927671112856982585207780495371807284575613616382421438663058867718696328941078758036370772591713346777116454496886030688033342634457390468545371902517653384228410225865794995347896966852054696817164120765271667125959697934780487489168470355479057735045076152504493509612435718002315887224010097958431896577900773012556242080376996850830674121081617110204917808807170889344659633908596140275203363592043133774395615515198137677175268353409885340503143893975778959758164861069033773439606166428869866640240444143406148075386169886056656386461835509141483125549637822803917522977857655628331032228250405411464161766899617766776437233214273371446162246756353993776764798689447746622160975965426626774073536360645368862573625670660549675843783555982592815343756020066494097100836716220724432566406172115698181152691582144930067498837532087596241767027384715075854922896795716039559713960083512656535454201413632,4,0;1;2;19,3;5;7
9,13,4.782432735228751,8145.719085,6214.970129,1930.748956,1930.750963,6214.970129,320333048975853485833890079413788117993670306239920460043654602258365310581971212755687501958967778305601839917409288651611772846278738688085790652067784728659449874514086572103335566645587052841917099137862173422344472396406247447654233895063168842042272918716093787401345073146769495323829451699726073862016783827666063656723701683601656423462788466958031392385450325703975872747537220133132163342042845412071631712882858564961578524838577719309930575863628847703761900850523781026183930199742393810526646916782180630483762607121323020760728441280024187377115861666408259085707062827282156068554759164169226796611461721338308217353717625357547834913335592157759663452170881920179527103729157779474529020083347115013781240402595257092055686861955552821151699498315355141938622501621771009436868798513931305329564160711167033299072009342006461777903784598253948413104314262820664708988225971000093687690732651159619608616525282565585665729363937611210514650557977654556915456225637891066894558455820478929878994064678034667214654617201959824967101324195990903072288658842055923508170830721353671643721025641339320482044071048362192156399990880207330051945792549772477105079430171647721193490013536153882451893222605935795522174429599085669905417461879363334208869600227461664579370801343093531597851204644169186866871170462673353630268956791959198721262717393265845565949420374499741588152718053416646776415166643748976794327744052975056065221652051142862490840362586542281679130829558456969841000902173579324089741189954990888576149385182937652007084137924831837522125443608997571490432526791872954018357786936508504690444322616323687428927496058880115828566183903781447911876537704027837489395686064407413135136196354390659204618221297484772002763783846314071225405443858689945540758544552056802565732866048772917036580546693442461983932394837444864343071346996006018988240985783386894289051698911982143347675799175814390861127068020929711232177352512411831087659099115139400427076895663773496932988331512120329957232027020759687866775484694599677170358524551424136931541361051843141818238898183036466394549296018281402634527695518478540887401592296843009437440004993055861080078697880175838203383934052225617656588143961865454696313320537585592274345750482070543434194843500560691447855156125981785115306549904071215734876773526454377005561524384749376082599320622594127616015582908043768987633174338416436313878269209446213497272260813436460493041565328665055325664660684158191544889725475343051703267713548641765094417148707747530940978758093710079151124036504319722528077985511479198550943233559415473134910078883054438631382310144564614527029409341909333370743548848602794085194714988775961141548879960380,4,0;1;2;7,3;5;7
9,15,5.5181916175716355,9580.207835,7274.669877,2305.537958,2305.539965,7274.669877,132365276594387672614279658722191992477467450519180370986118343644281548716403376871483763891836218683376451009532706381581976333174643155214390888845217290594902681573956609943130320783235431629150768422950778130089168913694150761540278599295539079009165964055943088216630331374837939188891174797540540057537504502665775898092456999614428268797155569102146228352455571724631411842405580017039510485368361624787854589525027224482475894493605848560299145282183332621671886568628982569951547825041844018908223429259573989312508231766337785145513546898052309425732610872958329712258028728280121694870376002806926788672100934539743617189729092437175462411173139420710643945529352956947600388696989407997293806828881946786672045319764992161287234875221444883366617941954074519953689146083252462586039916431646640732085687965133346472373485254972573150501470339341074510007045819501219470718628160096095985350855233197535185516444928023757822263488093044807493150753951649827663847804916904071522928029486683945170173490735243486979088959794404428287340151222599039681086378562703593317383535929284441118355795338462877077137116099689014804455301316186185376208958985833846317902048093127821568641342061257697287796658402893349432586432030497414264327021463890266135314816980251088682935602487029984752517930854685604493527452830265027152052887330628602613398184680240199222679343344042478354218318286328963890767806920039883974576366606692282740667559407891135172818565766719999280019035295602857542613054137906364661944465048796228478713888106112797432492405877577979896229479648949317903844116058269623304050766807799904838751393513086081160441424798747311634804052971336637845179155213003365205445512098251241683412603284818746745358760985480660498294032249920606653849519124941969702112103101850505583336723813503772480964338363033215294202512935130508189996745634065822353914753995885072855999461629379554069206854432601811783941406310911265915785147629024860603342689234121413613774713300204691923260961048337211541317916047591642256640565425643547446236660313881646203808701986205583157656372856408251863368742483248250293115610061630113153304237432081154166033870905006781175235099657983278374230055861271345440580477790552362279335162362588753391533000101645092713360169910428401460267324121066660957235015123307111680051228204715143942498568146605697816946690519799098711404720876561548839583352609680585062347457078238352574054169276855886213995365982423544845088337977125279596140343754171832565037220552982340796746203065653936677926346744273341497130749951456124056718099463657609678841711888599664813391654845014406376816923440904227124668616759746978077583576295819179734437061400514444244651251118517664588966633355721479436466804315307877453364440329107828085919363205990888124618474885653733851339124055291665059356011895186589576818767049791803406710121450361842512177645776515847285509454696116957029239403419828862031198935141123119420334246727227593872772785050469999463567076706893904092351183693464453588371785248386370334358957783933281829060299454190435400799591887493680792284383892736788802401217415341712953078044188803225201315291401973902814792908800,4,0;1;2;10,3;5;7
9,17,6.25395049991452,10748.467096,8170.387803,2578.079293,2578.081300,8170.387803,114429033972229105628015454569703381626510340670250826458840124773870337513788145478205209204609884897985397718410979481852631756713544693710346445304586666798746018202910975164552432471907886383010438810088198240467665271423032322511658364940717113230452379174583593048004132750924129301642337731836424177851210287105585055469658145739787376840209247303797041284340444761732901998174832668823377843196741420684943501442824175982185748808910503043408118464846296301384989409097321302550927975943443066703872045852707979217437507008481034842159477377002743704669098192204973058913392231908878498797471326505889733575630819464596197544874948888461381726736098652070828706260760516226756406571880211461889363512375165984193306871400185739074882519111666701458419951048779245719437110568422172990125092450011996750504569223985082767026919248410217271591769780035262747594760897549255539388555987874615059975627794625269065631656544972881227300555257285616025145881169697673650902611439818785534094158155787195260374754536766599444267612706132720224605436345319493810616691693119049669887482451095665593463687599949358365750150401105648274275264363514810897530539741793570555281686389338503994892732001597514829223315466252246427177723768650121138945171932561623724899925731752179214925132265439460743939403433002364348634119262727907320492915654428268878389492786780885924088710827412088481603202601193992820428039200831573489220694662467162617979964670361144918078011826275690038710871191092770271908912311891673319357025716195732211948069657752317156643216629518872947279480580303218858768728557804400319252346683265534218770299367574780471077377130389049907095122613627352877147755073269218454382738428928331356724790377031854413909146549374971566089262645441712380417536496607087080355334562093660764901679933319423970238739228917502914002371654397424532768264997466338346111936246867202654816850654443460906478183772951797762248548312611914665421760833967051532234379719508257161052473779824119048661919775723264205472505498460953932688736870904257387423913933481398189998160630379623350422591274615132160057697594646607017194671086293195186605585166131341843225775858484902121956319310804802016383776823025103889610513427207969645459821734708919006002607965540566025146045596418633951381294677997591231320438135447979875145925356011670770097870445564692772773540371590024806112247693978708493309578706549590187377310969696888435816174681229509033402680389625295269685523997959104795356731773035467085299651382577750413901020660046263735083544856829441747910264870213346112194882944153227645953142277719960404495451365372004422012043486737866082641704201848372516909634634333579588548889455831547218029403238400728543814714795693297201208416551475690565243824678283609652058496310767402827434207481223297257202725189288941868241673535754815949013912141243489527924236625688156069555663950354168425494722773546988096416413155564825811151425793135927694559470112812607181413967636641138310671036066830426230453548185059660500727349694430145510801471318231598750997712090185117827601645040863110053894917376477090706375641779864667377154238884028177168627466401526105779485088816521127651725049094979149057304837772340042861622621973535420769464262512558656203578593954021567786438363685843249174894441770105700640272922784016416584854348719926745477218579964891589398795940625207550791414215732285127609957138278687606118651255416162295992770227561674336233886322393516047171821638989829297239302677650732931598961452930389056245643215302099116448119402258271932969306016,4,0;1;2;19,3;5;7
9,19,6.989709382257405,12255.908383,9295.337982,2960.570400,2960.572407,9295.337982,401258783994764262707281719943008921702960644227169678619457575732163405426225301041346042367497952996004869816369741493283151061058060928346754213566687503601434176407934625472587010224600889847857022363895933181563732874072481017520534525234459563224100383681501273233415021049627535894558736193126063522873577285381039784878775256485979961877161058480661070302327937510657873088762741565362960573004176217560420420162767236074475107667194119994213316156852942436503898927777054595859669902149994336031293396155766013145457172350415191618076320466972869274532368149122964698515805473174360380655180638747270912252075215222891528372054820933172036509883339489958431388328465949312227743738746467687036748604768111842351074948112115170052108336697578321002311390597869557056546787739804961756622007304481204413996079444237164221316937560688882704011755659883591597237709911536483138507914198519328480383800326397851672972325769302974902824871400744843902040981835122131198164267434219844965505529118772580795161731601843969525268459215737634625139227782861842692936705338489110636877532333770594840273242636839879162260373746484983982753244608440897800047468513306658373203489994532031016691065430282210430337419204637468927203784917417352133870214195694391389756156118240801137076345259081528295551473928297511564968285392930910725760772931647968330915906000755916202304155795559118673395322757186374673211995792539444908295294520130947337996826712787979896239225367887733782197930392698988961186728548669463392641635670796713056396377122965904789856363774010972916907071719663426989844572931599313877029244659704093272398046933339488123647920547123108409218644405066930742370647184278781848496452331294366280112557368155840055148785263820281053009638207643161349217620966317057397866729570022352094196043852419447573435162557864411801765975075449940013052400347675146957963023551258593187966381997115496178562149920106190667022351464312752623028290893849695223831664466037094552630713245592859776515064569886722454381392468099432608990934618830571731123937236777963833326821856179284609862992068015687115958327830324749196282662870440621288209337985038690900165112857711609917313860773431148560508460978422362345961371454886188965639477089016323983804309499838400013267758447575545669341399104627040037811386061173434418291500027362133649019150855888006643014246336125151204546832037493609059989847020948823994307865918861146942277722888266404181231788900349900379618311483053691105293653006336123983960997727913489083821804238086322501424232548398740908845597523211291786071253426398528823571107211338086270558543590931343671936337827470106068478422330832272720195361222146274322047363546350627528060916428146546182552761659905505669868332495441838068148791214181249886273095631842422494355807304398988643278585402777155481784080054035184820525378117527824565796507461875131323764620243987963440414587575377776321678273822188279235075743981730284725316242334543957925221256267298327300477084570270141789185524542704446481751382168119687160550089200971680805750469409236656280585004397808305893084512135004162392964111666199898414670780721521383476652823056631036711238479661629844796081560971515666177788780015348926695029875177784419659205836964440368762926435463891390314873745616054907612575922685902305717395419006341308218228069404486055565262078389723519732752172949475578364129467243085834382424687491427972798951932414034357179756668251551709249723132098171063633390071389797743340664368702887802012844928126863139457960488292996560614307618275712176939823063808064449693046526581408333437139222678634318497386124092021112183762654023872003336563773503347031559497164333136693822956269028088923530605117565520660562551711490997140417170927329062050805032212734366370662623489690159144193486438959763057468591889167876364271590883133976143420044898628742658958737765292015064197853847602447054789274253713526485883388563559706438661454888027574504277530581081059452837941203120717070139139148310979001576632368550367516288293134060096817902395388105126,4,0;1;2;16,3;5;7
9,21,7.7254682646002895,13779.080338,10452.073619,3327.006718,3327.008725,10452.073619,79299578549072875832477042808452985191557302258779476124008676330324873152456809905209355877519279710442558321876983188655588651745574502982466862117831328239222514162849897716181623828485917489602836651936442818254193355816868154467568378348337352880899992940012417957044550264799266300545528252765160779421811979621327412232524935522230913739692043886062809742489513487085015482529254561140784982511516889720928799364404463693431461415438884056673110018366563334183403108543040795707459810179262849268123375290166047799089896264325775654249880984058358731704455407745045800137330440879161688241994829855793139579656943013826823613444388144118804837948666916898996103762107370326418603757177027400793479045096605566063793102985026314458729090136257683112352368283741834104742244365950751509844225980748859246874590431946889479554080658528470833474773473423877915946028860137175786209796658153386420251685468440729984798536998748184425562967470926756102249256373451209108694636828942597387690784382711508199147498808028419752073316695578806343395765723775090537965354748468531432795113613283194900900149799670566664270590583321211032296122639899630939003871234965955370477569207369974363748479769826798592772585700124987952967422139428757866205433740665100857529083459625861879237848981908993653531450485738673577646585116957378297374531583465849627411844902634669444908470959524687934919223262788788629673733246011039450426063454445507835944693868944736886197739234897640303114245959029260405957104667318183755973340691509516298617009206479732013968764074364532911800315984838712490538450164285011946495545825060178712250988732450797260460092735360862768363891744811639897917659471198940337475386918274106505401247697315056800061242352712581155093014688807088761691849246230029133839119366068184342644225970612070005528054068371957811467325140290501486363355555290484039418995817447802711700915890009802145234088415111348612292299693809391509792810437622667790030970658348602945334196450119136630490733664281522562498638564854560467790614048929965284640318632039303762029112747377095381193799104280116123449718451295457934425291947887032203462317733894677695346130615217217844831690621837433838634618364545243116737266488762666587625578247567277678724509221076287102747964064987594969054348653129157579816856949650822366006951160513949927837945776056329942949841779178867172056233802694784140413061035336479571520838714148570058907879143194318162508377073231484570544446696159248661704376629361509243097798565085956683814068564437260788613534424429864370891767658697446608771689732343922664181932780788399230041905214296562567652219800110266243215723033287879700311274725115313039630137846159553553385339487573777478831092828379349858142208766823050969796448360765176213385500222929189174442618120947308572849547711003151848286353834786238362676893934017090947561598773566806735877197748848196601718864804975288359207639667814425278827971925035267874407382545592579766292227787384913415169291221097077454752910717947870032695435153293067255060289894924076249833916155821712632742897866355339863296029900353746755898084378160704452762601793338132881639652570645804503603757028660278809212376788007152971336271324523690331044086818439177260211776365238848420890883579274870036851408332383186191148434414575409193810597215215642260606605374193136294210393392317324476662835619369318904533474761165942754560352811855469604569075206911426582343691644502582108967670420590956098677192426914932284103590426839190113075992166725657094195173736696362335674993042882425614789905343427174373627297547260639192083872414110359295506219186547026936041329272868606547275882449080767662941493647747216680095968299937799912528668433035900384722701817190877275085459541101080298434701581439998521488144245569834191032853472745339624652828238319221258215723212434036530106517495002313502003217410416272003030964501449708062803358615201648068264431070113807487126654547006601624740484739407036489944290354154116099885583277649125156555696470683368121511409869274275008230790204147700443815706524333122327481632064435151174665848222220273466727382539874158745179991563911279043866096546914355594467183122838745075885894043157719610705378802232179129512381410866973485328773807099641784286742011231490921371755991035838455721161798216044478572437712222917089085286085212547463024800037402052035243922030738620605388382714478336972199902840396869613669584250887666065071935272620569549718534243634729749798152893566489800076251346777901771099884548110427239452628261530318125002055656562500,4,0;1;2;5,3;5;7
